bmi_drift,year,group,avg,bmi_avg,nonbmi_avg,delta,percent_increase
-0.2,1,0-14,0.007772181806876827,0.01753463089601964,0.0042352243610105245,0.013299406535009117,314.01893740136774
-0.2,1,15-24,0.0062264285206005835,0.020303881425332477,0.0012066656208897953,0.01909721580444268,1582.643565361578
-0.2,1,25-44,0.014516491281888347,0.015364444626541567,0.014206988342792198,0.001157456283749369,8.147091106304693
-0.2,1,45-64,0.04393874807358101,0.058546885497648526,0.03844453067891598,0.02010235481873255,52.28924495560881
-0.2,1,65-80,0.04083219530683734,0.05393665679026551,0.035944302425703935,0.01799235436456158,50.056206826523834
-0.2,1,81+,0.015791597700275474,0.0257240240948359,0.01206486069107522,0.013659163403760681,113.21443117751721
-0.2,1,0-14,0.006196074786622674,0.005939653124257543,0.006286540516753631,-3.4688739249608754E-4,-5.517937752435264
-0.2,1,15-24,0.0026748696001069948,0.0,0.0036354823073194375,-0.0036354823073194375,-100.0
-0.2,1,25-44,0.017550691332700777,0.023736544991072993,0.015312162712269524,0.008424382278803471,55.017585935480405
-0.2,1,45-64,0.039353190953488465,0.04244564063977156,0.038197991722567264,0.004247648917204299,11.120084396203488
-0.2,1,65-80,0.03940233293020715,0.03653373639834667,0.04047573734195029,-0.003942000943603618,-9.739170185586731
-0.2,1,81+,0.015815092283992197,0.015034364261168385,0.01610785821863196,-0.0010734939574635742,-6.66441151202749
-0.2,1,0-14,0.0030879446640316205,0.005885468777588135,0.002093057328840237,0.0037924114487478977,181.19004178682832
-0.2,1,15-24,0.00712491761814004,0.013499831252109348,0.004839568310506703,0.008660262941602645,178.94701316233545
-0.2,1,25-44,0.01478767365247324,0.01438272429344867,0.014934846731135421,-5.521224376867513E-4,-3.696873812141066
-0.2,1,45-64,0.038092285786717354,0.049011599411860805,0.033984399714386423,0.015027199697474375,44.21793476938478
-0.2,1,65-80,0.04250656121919737,0.040095943865678586,0.04340870907322406,-0.003312765207545476,-7.631568130619437
-0.2,1,81+,0.017002913947666204,0.01288964317171153,0.01854689137972744,-0.005657248208015912,-30.502406533741443
-0.2,1,0-14,0.0031170126550713797,0.005928736586233474,0.002114299004165169,0.0038144375820683045,180.41145431908458
-0.2,1,15-24,0.007113766917426951,0.013470281192119887,0.004833077582977901,0.008637203609141986,178.71022057585452
-0.2,1,25-44,0.018366781893094365,0.025728634941544544,0.015693835685540374,0.01003479925600417,63.941024087883136
-0.2,1,45-64,0.04135242108579643,0.049501619616098114,0.03828988695452715,0.01121173266157097,29.28118506822952
-0.2,1,65-80,0.04736445093296274,0.04994434772681869,0.04639475229761295,0.0035495954292057404,7.650855438209492
-0.2,1,81+,0.022240040266178165,0.017114129853460263,0.024170547382329717,-0.007056417528869454,-29.19428102827396
-0.2,1,0-14,0.003097461630194056,0.0,0.004201327619527771,-0.004201327619527771,-100.0
-0.2,1,15-24,0.005378030744409089,0.01692276450280918,0.0012192296906814275,0.015703534812127752,1287.9882217559061
-0.2,1,25-44,0.015620161517950853,0.018513566329994034,0.014569254390388775,0.00394431193960526,27.072846927618286
-0.2,1,45-64,0.04283631419060981,0.05990135599279251,0.03648690425692532,0.02341445173586719,64.17220702253208
-0.2,1,65-80,0.040200534315839594,0.05233275026524819,0.03566266869380783,0.016670081571440357,46.743786099033045
-0.2,1,81+,0.016451040528313414,0.019399478369581617,0.015346218772464037,0.004053259597117581,26.412106182080564
-0.2,1,0-14,0.0046982913880318855,0.012050370548894379,0.002116133401049602,0.009934237147844777,469.45231065855273
-0.2,1,15-24,0.005336416596255614,0.01347164219318335,0.00241712289861378,0.011054519294569569,457.342044995285
-0.2,1,25-44,0.012080544283431534,0.014470134675610587,0.011216169229561337,0.0032539654460492524,29.011379727341314
-0.2,1,45-64,0.04522769193255961,0.05545108250156709,0.041410327735737294,0.0140407547658298,33.906408216403875
-0.2,1,65-80,0.04538071105536447,0.04949145734410191,0.04384839151266256,0.005643065831439351,12.8694933537294
-0.2,1,81+,0.015846651367800776,0.023662529309269258,0.012914056950991154,0.010748472358278104,83.2307957063265
-0.2,1,0-14,0.007774961513940506,0.011894849530153443,0.006316454363617223,0.0055783951665362205,88.3152928115459
-0.2,1,15-24,0.008046131151937776,0.01026307687044576,0.007261812548412083,0.003001264322033677,41.329410557285094
-0.2,1,25-44,0.015318040822578791,0.019515401760494665,0.01379449189666807,0.005720909863826594,41.472421794734075
