bmi_drift,year,group,avg,bmi_avg,nonbmi_avg,delta,percent_increase
-0.2,1,0-14,0.02642048986696506,0.05842486562280906,0.014821715931227239,0.04360314969158183,294.1842219477181
-0.2,1,15-24,0.04623496252300634,0.0879239795745832,0.03136384472484258,0.05656013484974063,180.33546379899224
-0.2,1,25-44,0.1496187047998337,0.21467344080635434,0.1258528679142408,0.08882057289211355,70.57492956985139
-0.2,1,45-64,0.6575122468825525,0.8375512458515264,0.5896427500866066,0.2479084957649198,42.0438470121963
-0.2,1,65-80,1.1596750668894706,1.361997501703384,1.084010840108401,0.277986661594983,25.644269532137187
-0.2,1,81+,1.0774714718885263,1.2179107006693213,1.0246815286624205,0.19322917200690087,18.857485628645488
-0.2,1,0-14,0.04645185265472338,0.06529739997625549,0.03980141190271697,0.02549598807353852,64.05799908771097
-0.2,1,15-24,0.03832612861535719,0.060702121201902,0.030287611155532943,0.030414510046369057,100.41897952989581
-0.2,1,25-44,0.14570312713967234,0.19985989203445007,0.1260921143931537,0.07376777764129634,58.50308561825626
-0.2,1,45-64,0.6648182113261559,0.8416469293523768,0.5986039144861789,0.24304301486619803,40.60164141673177
-0.2,1,65-80,1.1425958898956559,1.3607029002410387,1.060730678411292,0.29997222182974687,28.27977241867181
-0.2,1,81+,1.0962523466289662,1.293386765048873,1.0221247757624077,0.27126198928646533,26.539028866033476
-0.2,1,0-14,0.02469821864098052,0.04706436051300153,0.016742005692281934,0.030322354820719592,181.11542534415815
-0.2,1,15-24,0.05074289376930678,0.060720550532991496,0.047165818085067784,0.013554732447923707,28.738465690294035
-0.2,1,25-44,0.15832909481697813,0.23065094823167606,0.13201861686258132,0.09863233136909477,74.7109261656343
-0.2,1,45-64,0.6730829469991229,0.8172568017317835,0.6187438224458621,0.19851297928592126,32.08322605973015
-0.2,1,65-80,1.1524793635429342,1.3921457833027264,1.0624839208468044,0.3296618624559218,31.027468368008783
-0.2,1,81+,1.0823917028237313,1.302033632334542,0.9996885954055845,0.30234503692895753,30.24392178909401
-0.2,1,0-14,0.02025710946630308,0.029636654614427126,0.01691188905800778,0.012724765556419347,75.2415387351076
-0.2,1,15-24,0.044444444444444446,0.08749200794158227,0.02899145959919307,0.058500548342389186,201.78545389283352
-0.2,1,25-44,0.15877274145775278,0.22288414133114215,0.1354770808607833,0.08740706047035887,64.51796858553416
-0.2,1,45-64,0.6630033189304276,0.8443707030542286,0.59468002945561,0.24969067359861852,41.98739847161064
-0.2,1,65-80,1.156515034695451,1.341634328936341,1.0867574819072794,0.2548768470290617,23.452964554865364
-0.2,1,81+,1.091997614512104,1.3779278328761342,0.9838734130752228,0.3940544198009113,40.05133328781023
-0.2,1,0-14,0.027870248509715877,0.02946375957572186,0.027302320697259266,0.002161438878462595,7.916685553692027
-0.2,1,15-24,0.047485933412177904,0.09131493506493506,0.03169031251523573,0.059624622549699344,188.14778971028971
-0.2,1,25-44,0.1486046759843349,0.22683184678073265,0.12016270478038586,0.10666914200034679,88.77059000569231
-0.2,1,45-64,0.6762218528348599,0.8297621444390119,0.6189859280768372,0.21077621636217464,34.0518591459821
-0.2,1,65-80,1.1404385738052318,1.3298135854718396,1.0694307337940112,0.26038285167782843,24.347799576889862
-0.2,1,81+,1.0794566095645552,1.3127380268504927,0.99176197712549,0.32097604972500265,32.364222175094426
-0.2,1,0-14,0.01722491035217112,0.030120481927710847,0.012695457142252597,0.017425024785458248,137.25401606425706
-0.2,1,15-24,0.04800725442955825,0.09086320040383646,0.03262130291900251,0.05824189748483393,178.53945818610134
-0.2,1,25-44,0.13354722827800858,0.18572593043532096,0.11466005348312591,0.07106587695219503,61.97963003972742
-0.2,1,45-64,0.6750524982934798,0.8248843295900938,0.6189977534928264,0.20588657609726738,33.261280018466735
-0.2,1,65-80,1.1438169738740491,1.3598074608904933,1.0630668300389818,0.2967406308515115,27.9136383966218
-0.2,1,81+,1.075443649540091,1.2703403152483326,1.0021257212268448,0.2682145940214877,26.76456539735632
-0.2,1,0-14,0.02487562189054726,0.02378686964795433,0.02526103065005052,-0.0014741610020961912,-5.835712020298123
-0.2,1,15-24,0.0562957402889848,0.11960496189727643,0.03387943760133581,0.08572552429594062,253.0311314629396
-0.2,1,25-44,0.15406047693190197,0.19788174258968758,0.13814571953067692,0.05973602305901066,43.241313058379305
-0.2,1,45-64,0.6737401567110226,0.8370993268882406,0.6123147685088092,0.22478455837943143,36.710621716157
-0.2,1,65-80,1.1394591336401256,1.3740923963575196,1.0517067007148526,0.32238569564266695,30.653574368551517
-0.2,1,81+,1.059671020578614,1.328131661976635,0.9593319734829169,0.36879968849371814,38.4433854690329
-0.2,1,0-14,0.020248905780283797,0.03530242409978819,0.014828937612541046,0.02047348648724714,138.06441851864304
-0.2,1,15-24,0.04612300651043977,0.06061626536453948,0.040940672149505704,0.019675593215033777,48.05879381555618
-0.2,1,25-44,0.14396325926250303,0.18507725185844145,0.12893629425878447,0.05614095759965698,43.541624894987294
-0.2,1,45-64,0.6601544959358588,0.8229805524977722,0.5989707372801536,0.22400981521761867,37.39912507826632
-0.2,1,65-80,1.1457959158449305,1.381144924452011,1.0577545669734314,0.3233903574785797,30.57328869814302
-0.2,1,81+,1.0450240419641554,1.277532098528061,0.9577929884744242,0.31973911005363664,33.382903602470314
-0.2,1,0-14,0.01711662646852875,0.03525885878827056,0.010582458516762615,0.024676400271507942,233.18211200564144
-0.2,1,15-24,0.045461028310632534,0.07062859449096963,0.03638524699518502,0.034243347495784615,94.11327481249792
-0.2,1,25-44,0.14445066422729816,0.22574740695546067,0.11460569295380309,0.11114171400165758,96.97748090616945
-0.2,1,45-64,0.6513311000490488,0.8320462120378915,0.583538579380441,0.24850763265745063,42.58632444170154
-0.2,1,65-80,1.1325207664214545,1.3281305427456545,1.0593552050908492,0.26877533765480527,25.371597398415147
-0.2,1,81+,1.1210101232012673,1.3846153846153846,1.0232307460628205,0.36138463855256414,35.31800035750461
-0.2,1,0-14,0.020276698953410385,0.029847182425978988,0.016891535229408162,0.012955647196570826,76.69905085959886
-0.2,1,15-24,0.04358151076641199,0.06733326600006734,0.035053789435513114,0.032279476564554224,92.08555504088176
-0.2,1,25-44,0.15146825603339423,0.20231481006028365,0.1329747497385328,0.06934006032175087,52.14528356555941
-0.2,1,45-64,0.6595919133510006,0.844001034056854,0.5905903216272134,0.25341071242964064,42.908036781137106
-0.2,1,65-80,1.1386550324847609,1.3972806986403492,1.0421358883724874,0.35514481026786193,34.07855100571335
-0.2,1,81+,1.1030368199240361,1.3051056412872508,1.0275468312012135,0.2775588100860373,27.011791741070134
-0.2,1,0-14,0.02785170514328155,0.04155535767289997,0.023020739593579306,0.018534618079320664,80.51269597128903
-0.2,1,15-24,0.058000499696612764,0.10559662090813093,0.04110698697875736,0.06448963392937357,156.8824150568358
-0.2,1,25-44,0.14997888779824411,0.18393119534726005,0.13762205543027461,0.04630913991698544,33.649504632233665
-0.2,1,45-64,0.6738509376619521,0.8375466502930933,0.6128598697427025,0.2246867805503908,36.66201551828174
-0.2,1,65-80,1.1799006176208005,1.4455500081210675,1.0801175609290286,0.36543244719203904,33.832654926721496
-0.2,1,81+,1.1075001889436018,1.3723988254819355,1.0079113038052652,0.36448752167667026,36.16265839073192
-0.2,1,0-14,0.023339401577743547,0.023892008123282762,0.02314473878006186,7.472693432209018E-4,3.228679097750886
-0.2,1,15-24,0.04010802427872403,0.06397521802080877,0.03151591553734636,0.03245930248346242,102.99336678002624
-0.2,1,25-44,0.1655099210203071,0.23271717718146837,0.1409008685772376,0.09181630860423076,65.16376338297718
-0.2,1,45-64,0.6587393756443694,0.8209193724569864,0.5977617561605509,0.22315761629643546,37.332200328402784
-0.2,1,65-80,1.1702829115559172,1.3945055489847518,1.0864122962480232,0.30809325273672866,28.358778136140717
-0.2,1,81+,1.064522127184827,1.3840610428147522,0.9438342566204491,0.44022678619430305,46.64238271776722
-0.2,1,0-14,0.014068435121066699,0.023962139819085845,0.010575296108291032,0.013386843710794813,126.58599412927573
-0.2,1,15-24,0.04970796570150367,0.06346237349276862,0.04472974770004473,0.018732625792723896,41.879569539144
-0.2,1,25-44,0.15119493209898482,0.20398281599307697,0.13212448731977103,0.07185832867330592,54.386836332157394
-0.2,1,45-64,0.6672993304815599,0.8349007715634716,0.6046640904485667,0.23023668111490492,38.0767908582276
-0.2,1,65-80,1.1555096009537296,1.34938389971947,1.0832112844661146,0.2661726152533555,24.57254822493331
-0.2,1,81+,1.0932275333945494,1.2905527342930287,1.018302351338215,0.2722503829548138,26.735711902956183
-0.2,1,0-14,0.027742243731023533,0.03524229074889868,0.025074177775920435,0.010168112972978248,40.55212922173275
-0.2,1,15-24,0.04540355750227018,0.05062095032397409,0.04353399279270564,0.007086957531268447,16.279135169186464
-0.2,1,25-44,0.15597977188642484,0.20095684018320734,0.1394908769974682,0.06146596318573913,44.064504079972735
-0.2,1,45-64,0.666889049885073,0.8271808472510932,0.6067945945655426,0.22038625268555054,36.319745538165904
-0.2,1,65-80,1.1433413828581798,1.3884276498477324,1.0512169469557735,0.3372107028919588,32.078126581624254
-0.2,1,81+,1.0845280208527275,1.3654054743826964,0.9787510111891584,0.386654463193538,39.50488518257185
-0.2,1,0-14,0.03112646683474959,0.059449497651744836,0.021082368814960048,0.03836712883678479,181.98680221152128
-0.2,1,15-24,0.032218224775814853,0.05411621457079077,0.024339190965292315,0.029777023605498464,122.34187918555097
-0.2,1,25-44,0.14932965752637883,0.2108991881405039,0.12688603022126685,0.08401315791923705,66.21151104872061
-0.2,1,45-64,0.654121198140466,0.8267457494588487,0.5891837697358627,0.237561979722986,40.32052339620413
-0.2,1,65-80,1.106988309447855,1.3043815651167876,1.0327761893900416,0.2716053757267462,26.29857064066867
-0.2,1,81+,1.108015555168611,1.3457116088919172,1.018942597705185,0.3267690111867323,32.06942294125952
-0.2,1,0-14,0.015566382839619558,0.02983293556085919,0.010530528000673953,0.019302407560185236,183.29952267303105
-0.2,1,15-24,0.040882711056995834,0.05764665988470667,0.0349283967865875,0.022718263098119182,65.04238724991522
-0.2,1,25-44,0.15493969692149906,0.23100616016427106,0.12721789431934685,0.10378826584492419,81.58307162700808
-0.2,1,45-64,0.6579959279332828,0.8518253400143163,0.5851571298428343,0.26666821017148207,45.572068863470186
-0.2,1,65-80,1.1453992328040798,1.396103896103896,1.0512702959828064,0.34483360012108955,32.80161167292501
-0.2,1,81+,1.1161840891554942,1.3723735242722583,1.020351224022894,0.3520223002493644,34.50011054639219
-0.2,1,0-14,0.023239600278875203,0.02924660739354235,0.021075259752576448,0.0081713476409659,38.7722274216191
-0.2,1,15-24,0.04725560825992368,0.07374631268436578,0.03765609056897138,0.0360902221153944,95.84165952992672
-0.2,1,25-44,0.1494895179373732,0.21797020388439353,0.1246352366950019,0.09333496718939163,74.8865005309807
-0.2,1,45-64,0.6673651781595266,0.8506156837329877,0.5983877969068947,0.25222788682609293,42.151241741538726
-0.2,1,65-80,1.1718870604217482,1.3837775219151085,1.0922462200156642,0.29153130189944426,26.69098748588603
-0.2,1,81+,1.1044374615910857,1.3032293726215531,1.0299005970553772,0.27332877556617613,26.539335577400337
-0.2,1,0-14,0.03247506379030387,0.06369057958427422,0.021099717263788665,0.042590862320485555,201.8551328817092
-0.2,1,15-24,0.05772082656223637,0.09361417586091608,0.044739483198510295,0.04887469266240578,109.24286372631404
-0.2,1,25-44,0.14741073992533743,0.20301653867054928,0.12718375628459325,0.07583278238595603,59.62458147270671
