bmi_drift,year,avg,bmi_avg,delta,percent_increase
-0.2,1,0.67625,0.8291024353386715,0.15285243533867146,22.60294792438764
-0.2,1,0.676,0.8346329241162166,0.15863292411621657,23.466408892931454
-0.2,1,0.6826,0.8384701145294892,0.15587011452948923,22.834766265673778
-0.2,1,0.68055,0.8427995602784902,0.16224956027849025,23.840946334360492
-0.2,1,0.67875,0.8282798402603165,0.14952984026031652,22.030179043877208
-0.2,1,0.6762,0.8241224621930351,0.14792246219303512,21.87554897856183
-0.2,1,0.677,0.8401932795624416,0.16319327956244162,24.105358871852523
-0.2,1,0.66945,0.8258410592605983,0.15639105926059824,23.36112618725794
-0.2,1,0.66935,0.8319756145714745,0.16262561457147454,24.296050582128114
-0.2,1,0.6742,0.8447942582846997,0.17059425828469965,25.303212442109114
-0.2,1,0.69145,0.8610930239441206,0.16964302394412062,24.534387727835806
-0.2,1,0.6810499999999999,0.8469233123292419,0.16587331232924196,24.35552636799676
-0.2,1,0.68065,0.8280210002108901,0.1473710002108901,21.651509617408383
-0.2,1,0.6772,0.8398172162529333,0.16261721625293324,24.01317428424885
-0.2,1,0.66365,0.8196947940993772,0.15604479409937722,23.5131159646466
-0.2,1,0.6769,0.8589790441597177,0.18207904415971773,26.89895762442278
-0.2,1,0.68565,0.846965684621381,0.16131568462138102,23.52740970194429
-0.2,1,0.6771499999999999,0.8443076105744133,0.1671576105744133,24.685462685433546
-0.2,1,0.6757,0.8400523994907655,0.16435239949076547,24.32327948657178
-0.2,1,0.6795,0.8249079442542103,0.14540794425421033,21.399255960884524
-0.2,1,0.679,0.8610276925122726,0.18202769251227266,26.80820213730084
-0.2,1,0.68125,0.8286940395783682,0.14744403957836816,21.643161772971474
-0.2,1,0.6802,0.8489625636860371,0.16876256368603706,24.81072679888814
-0.2,1,0.6779499999999999,0.8226102517272232,0.14466025172722327,21.337893904745677
-0.2,1,0.6738,0.8160260656031084,0.14222606560310844,21.108053666237513
-0.2,1,0.68315,0.8426691476027771,0.1595191476027771,23.350530279261818
-0.2,1,0.67465,0.825508051103231,0.150858051103231,22.360935463311506
-0.2,1,0.6748,0.841952091065656,0.16715209106565607,24.770612191116783
