bmi_drift,year,avg,bmi_avg,delta,percent_increase
-0.2,1,0.006789019891828283,0.01928846978139734,0.012499449889569058,184.1127303900557
-0.2,1,0.003961247679840645,0.0021518796668890277,-0.001809368012951617,-45.67672004352945
-0.2,1,0.005648121999435188,0.010724780678235131,0.005076658678799943,89.88224190815298
-0.2,1,0.005661808834686506,0.010738370344916455,0.005076561510229951,89.66324470598343
-0.2,1,0.004541996434532799,0.010750145126959215,0.006208148692426415,136.6832577239793
-0.2,1,0.005105282265383917,0.01296204281794811,0.007856760552564193,153.89473381004848
-0.2,1,0.007947140164846394,0.01085894233901618,0.002911802174169787,36.6396227293176
-0.2,1,0.005087994030087005,0.00642811227769445,0.001340118247607445,26.338832940504233
-0.2,1,0.007369614512471656,0.006420408337970295,-9.492061745013612E-4,-12.879997629387695
-0.2,1,0.00396620790861857,0.006460922188960438,0.0024947142803418676,62.8992311502595
-0.2,1,0.0050956279512178555,0.015161031816508198,0.010065403865290343,197.53019572170118
-0.2,1,0.004534787488521319,0.0021542902690708547,-0.0023804972194504644,-52.49412955901678
-0.2,1,0.003964366012923833,0.0,-0.003964366012923833,-100.0
-0.2,1,0.005644933672029354,0.00857632933104631,0.002931395659016958,51.92967409948541
-0.2,1,0.0062518826692128885,0.019409100711667026,0.013157218042454137,210.4520948105162
-0.2,1,0.004527191443608172,0.008652015919709292,0.00412482447610112,91.11221664647864
-0.2,1,0.005095051007121749,0.0021321052407146817,-0.002962945766407068,-58.153407341075244
-0.2,1,0.006771932596697555,0.019087612139721318,0.012315679543023764,181.86358719857475
-0.2,1,0.006227037798119435,0.008536611392107903,0.0023095735939884683,37.089442345860824
-0.2,1,0.00508078447312265,0.010638524223919657,0.005557739750797008,109.3874337751867
-0.2,1,0.006254904413688005,0.010830481306589264,0.0045755768929012595,73.15182759449104
-0.2,1,0.007936777894939738,0.00859697386519945,6.601959702597123E-4,8.318186284142271
-0.2,1,0.007370700896957601,0.015026296018031557,0.007655595121073956,103.86522568340753
-0.2,1,0.003967331855974518,0.006440670688507697,0.0024733388325331785,62.34262527871237
-0.2,1,0.007356020053642362,0.0064642633971858906,-8.91756656456471E-4,-12.122814374532787
-0.2,1,0.003960866637620311,0.006434592368573451,0.002473725730953139,62.45415352937391
-0.2,1,0.005671828030174125,0.00858405940169106,0.002912231371516935,51.345551311215075
-0.2,1,0.0033861191688206145,0.004273869561500983,8.877503926803683E-4,26.217340513434205
-0.2,1,0.00452437507069336,0.004285316363480535,-2.3905870721282587E-4,-5.283795076171483
-0.2,1,0.008471465281111456,0.021522038567493115,0.013050573286381656,154.05331726354456
-0.2,1,0.008477210432620305,0.017109005752903184,0.00863179532028288,101.82353486316362
-0.2,1,0.003946975207357162,0.004279631095799542,3.3265588844238016E-4,8.428122067306365
