bmi_drift,year,avg,bmi_avg,delta,percent_increase
-0.2,1,0.039024279888922195,0.07710925953691605,0.038084979647993865,97.59303632609769
-0.2,1,0.04129473124483816,0.06236693262220693,0.02107220137736877,51.02878924778762
-0.2,1,0.04121662441492155,0.0557437502679988,0.014527125853077246,35.24579234542562
-0.2,1,0.03565869534455922,0.066540740104748,0.03088204476018879,86.60452790486278
-0.2,1,0.04029580526342673,0.06876101250590916,0.028465207242482422,70.64062141554473
-0.2,1,0.03685977407793858,0.06909208679693404,0.032232312718995466,87.44576852490056
-0.2,1,0.04482803624829058,0.08463725341261746,0.03980921716432688,88.80428521078684
-0.2,1,0.036734993755051064,0.05140176907755242,0.014666775322501357,39.92589578291319
-0.2,1,0.03513763183696139,0.05775401069518717,0.02261637885822578,64.36511988959808
-0.2,1,0.03511832610197909,0.05381552039608223,0.018697194294103145,53.24056232010861
-0.2,1,0.046973332729659985,0.0822475217523051,0.03527418902264511,75.09407353669036
-0.2,1,0.034000884022984595,0.049525204022307874,0.015524319999323275,45.65857755000968
-0.2,1,0.03679988224037683,0.04932235374849888,0.012522471508122048,34.02856407617085
-0.2,1,0.03893707430209527,0.04500932335983882,0.006072249057743558,15.595031641647505
-0.2,1,0.03181962816491659,0.05605018647465885,0.024230558309742262,76.14972175086001
-0.2,1,0.03168173434865749,0.04756756756756757,0.015885833218910083,50.14193050193052
-0.2,1,0.03848308724908178,0.057534947153085575,0.019051859904003793,49.507098483784915
-0.2,1,0.04851192490805298,0.08266039295479113,0.03414846804673815,70.3919049006227
-0.2,1,0.03904768911248564,0.06398907919715036,0.02494139008466471,63.87417706798328
-0.2,1,0.03499049048766585,0.057421152251121835,0.022430661763455984,64.10502239562143
-0.2,1,0.03922237380627558,0.0671111880845168,0.027888814278241223,71.10435083808979
-0.2,1,0.04363669335872196,0.06014779171678983,0.01651109835806787,37.83764783077379
-0.2,1,0.04477442756744503,0.08151707568216922,0.03674264811472419,82.06168143496122
-0.2,1,0.03512827486175324,0.05150214592274679,0.016373871060993545,46.61165720614704
-0.2,1,0.041858281434720875,0.03877304842322936,-0.0030852330114915162,-7.37066335679123
-0.2,1,0.03959455178967374,0.055738970115336794,0.016144418325663053,40.774342923294604
-0.2,1,0.043656485822981456,0.06648793565683646,0.02283144983385501,52.29795619929669
-0.2,1,0.045129408579100576,0.07260613308277099,0.02747672450367042,60.8842999914581
-0.2,1,0.033357644837197734,0.05354006938792993,0.020182424550732197,60.50314597817887
-0.2,1,0.038956859512531125,0.07098758792780778,0.03203072841527665,82.22102298819398
-0.2,1,0.0474538737049047,0.06626480270189389,0.018810928996989197,39.640449827060074
-0.2,1,0.03213059678355815,0.05133140840551813,0.019200811621959978,59.758652325391616
-0.2,1,0.03118886274065043,0.04131961811973991,0.010130755379089473,32.48196467864606
-0.2,1,0.03744383424862706,0.07116823739998707,0.03372440315136001,90.06663934956546
-0.2,1,0.032850208712101904,0.04518655592374231,0.0123363472116404,37.55332978172443
-0.2,1,0.03394874870570396,0.042724087840724595,0.00877533913502064,25.848785211769055
-0.2,1,0.03913117450235354,0.06224912529246356,0.02311795079011002,59.0780907655087
-0.2,1,0.0442859738372093,0.07727311754099768,0.032987143703788385,74.48666213154924
-0.2,1,0.039180725354472,0.06045818668624361,0.02127746133177161,54.3059403297725
-0.2,1,0.029283236473397305,0.04063041293330197,0.011347176459904665,38.749734750846756
-0.2,1,0.036299905279934666,0.05620527897274044,0.01990537369280578,54.83588328757647
-0.2,1,0.0424107395302021,0.06399044409368201,0.02157970456347991,50.88264152553219
-0.2,1,0.044581386424685676,0.0452147701582517,6.333837335660249E-4,1.4207358369978884
-0.2,1,0.044658251318549,0.07723498744931453,0.03257673613076554,72.94673474425686
-0.2,1,0.041052288243299484,0.055559117037416936,0.014506828794117452,35.33744260037746
-0.2,1,0.044083736492291,0.07785803884251048,0.033774302350219484,76.6139738543389
-0.2,1,0.04128398859883274,0.04500932335983882,0.0037253347610060857,9.023679366851244
-0.2,1,0.04425557024437018,0.0710946420492492,0.02683907180487902,60.64563546843746
-0.2,1,0.029351832513928006,0.04102874171327388,0.011676909199345872,39.78255597433296
-0.2,1,0.041263686260322986,0.08405897060091387,0.042795284340590885,103.71173353394897
-0.2,1,0.04405311223942302,0.07487431810888864,0.030821205869465625,69.96374218002197
-0.2,1,0.03561615956039483,0.05997900734742839,0.024362847787033567,68.40391577233682
-0.2,1,0.03745934809382999,0.04956469269890527,0.012105344605075273,32.31595108049723
-0.2,1,0.03230486726666818,0.05183809235820122,0.019533225091533043,60.46526961492029
-0.2,1,0.0368434775708245,0.055832331214567946,0.018988853643743444,51.53925442363856
-0.2,1,0.03444537302644953,0.049252644652875925,0.014807271626426395,42.98769421093611
-0.2,1,0.04257130693912303,0.05174309553069012,0.00917178859156709,21.544531401591094
-0.2,1,0.03907002027111196,0.05799467308187988,0.018924652810767918,48.43778600432578
-0.2,1,0.03909459191478512,0.049888293603453135,0.01079370168866801,27.609193906397977
-0.2,1,0.04528062668387331,0.07474479989749284,0.029464173213619535,65.07015333361805
-0.2,1,0.05376983116273015,0.09482349898711262,0.04105366782438247,76.35074713204284
-0.2,1,0.03173991407551832,0.03665135933423883,0.004911445258720513,15.474034513876699
-0.2,1,0.03749147920927062,0.058663769690385656,0.021172290481115033,56.472272974174096
-0.2,1,0.035583369575654195,0.0642687289787699,0.028685359403115705,80.61451106289259
-0.2,1,0.04807719500675909,0.0755287009063444,0.02745150589958532,57.09880931224453
-0.2,1,0.031728944162724156,0.04304407713498623,0.011315132972262072,35.66186417748918
-0.2,1,0.03958380456910201,0.0664437585733882,0.026859954004286188,67.85591808739957
-0.2,1,0.03804418804049719,0.05625270445694504,0.018208516416447853,47.8614930539858
-0.2,1,0.03912828975349178,0.05795359419605487,0.01882530444256309,48.11174871470874
-0.2,1,0.04078950350109905,0.06435558606487043,0.02356608256377138,57.774869858703724
-0.2,1,0.03387323506331472,0.04728538881485621,0.01341215375154149,39.59513676940494
-0.2,1,0.04056772274215268,0.06455639000667082,0.023988667264518145,59.132397982971455
-0.2,1,0.039659831955626314,0.057877813504823156,0.018217981549196842,45.93559944878274
-0.2,1,0.044099438580224234,0.07708944517013212,0.032990006589907896,74.80822353303563
-0.2,1,0.02602943589685553,0.03652693324165789,0.010497497344802365,40.32933094055453
-0.2,1,0.039221927899864714,0.06723345189554958,0.028011523995684864,71.41801919375179
-0.2,1,0.044184623750934675,0.06241659851061082,0.018231974759676146,41.26316625993782
-0.2,1,0.03802691397403954,0.05389673385792821,0.015869819883888674,41.733125897943715
-0.2,1,0.037782025906063735,0.0622330951307968,0.024451069224733068,64.71614117656104
-0.2,1,0.04965467431047713,0.08989341209708489,0.040238737786607755,81.03715983515652
